TIME,GEO,CEPAREMA,UNIT,Value
2018,European Union,Waste management,Million euro,4214.80
2018,Belgium,Waste management,Million euro,245.40
2018,Bulgaria,Waste management,Million euro,38.20
2018,Czechia,Waste management,Million euro,71.20
2018,Denmark,Waste management,Million euro,-0.50
2018,Germany,Waste management,Million euro,125.00
2018,Estonia,Waste management,Million euro,1.70
2018,Ireland,Waste management,Million euro,35.10
2018,Greece,Waste management,Million euro,233.00
2018,Spain,Waste management,Million euro,229.00
2018,France,Waste management,Million euro,1090.10
2018,Croatia,Waste management,Million euro,41.00
2018,Italy,Waste management,Million euro,346.00
2018,Cyprus,Waste management,Million euro,2.10
2018,Latvia,Waste management,Million euro,13.00
2018,Lithuania,Waste management,Million euro,5.50
2018,Luxembourg,Waste management,Million euro,4.50
2018,Hungary,Waste management,Million euro,45.40
2018,Malta,Waste management,Million euro,10.10
2018,Netherlands,Waste management,Million euro,881.00
2018,Austria,Waste management,Million euro,6.40
2018,Poland,Waste management,Million euro,30.80
2018,Portugal,Waste management,Million euro,1.40
2018,Romania,Waste management,Million euro,67.70
2018,Slovenia,Waste management,Million euro,10.20
2018,Slovakia,Waste management,Million euro,66.70
2018,Finland,Waste management,Million euro,0.00
2018,Sweden,Waste management,Million euro,614.70
2018,Iceland,Waste management,Million euro,5.30
2018,Norway,Waste management,Million euro,124.70
2018,Switzerland,Waste management,Million euro,448.50
2018,United Kingdom,Waste management,Million euro,
2018,Serbia,Waste management,Million euro,0.60
2018,Turkiye,Waste management,Million euro,73.90
2019,European Union,Waste management,Million euro,4705.30
2019,Belgium,Waste management,Million euro,216.40
2019,Bulgaria,Waste management,Million euro,41.50
2019,Czechia,Waste management,Million euro,58.90
2019,Denmark,Waste management,Million euro,0.30
2019,Germany,Waste management,Million euro,151.00
2019,Estonia,Waste management,Million euro,3.80
2019,Ireland,Waste management,Million euro,27.20
2019,Greece,Waste management,Million euro,239.00
2019,Spain,Waste management,Million euro,377.00
2019,France,Waste management,Million euro,1389.60
2019,Croatia,Waste management,Million euro,42.70
2019,Italy,Waste management,Million euro,345.00
2019,Cyprus,Waste management,Million euro,2.10
2019,Latvia,Waste management,Million euro,29.30
2019,Lithuania,Waste management,Million euro,6.40
2019,Luxembourg,Waste management,Million euro,6.90
2019,Hungary,Waste management,Million euro,79.60
2019,Malta,Waste management,Million euro,17.00
2019,Netherlands,Waste management,Million euro,843.00
2019,Austria,Waste management,Million euro,6.50
2019,Poland,Waste management,Million euro,22.40
2019,Portugal,Waste management,Million euro,16.50
2019,Romania,Waste management,Million euro,105.40
2019,Slovenia,Waste management,Million euro,9.10
2019,Slovakia,Waste management,Million euro,37.00
2019,Finland,Waste management,Million euro,0.00
2019,Sweden,Waste management,Million euro,631.40
2019,Iceland,Waste management,Million euro,4.70
2019,Norway,Waste management,Million euro,116.90
