DATAFLOW,LAST UPDATE,freq,indic_env,material,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2012,743,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2013,732,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2014,839,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2015,862,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2016,936,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2017,997,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2018,1066,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2019,1148,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2020,1325,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2021,1636,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2010,1583,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2011,1566,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2012,1696,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2013,1483,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2014,1471,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2015,1462,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2016,1593,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2017,1605,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2018,1621,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2019,1895,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2020,1639,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2021,2035,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Ireland,2010,2206,
